Data;Produto;Nome;Preço;Link
2025-04-27;iPad 9;"Tablet Apple iPad 9ª Geração 64GB 10,2"" iPadOS 8 MP Filma em Full HD";R$ 2.314,74;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-9-geracao-64gb-wi-fi-10-2-ipados-8-mp?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad 9ª Geração 256GB 10,2"" iPadOS 8 MP Filma em Full HD";R$ 3.324,05;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-9-geracao-256gb-10-2-ipados-8-mp-filma-em-full-hd?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad 9ª Geração 256GB 4G 10,2"" iPadOS 8 MP";R$ 7.099,00;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-9-geracao-256gb-4g-5g-10-2-ipados?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad 10ª Geração 64GB 10,9"" iPadOS";R$ 2.659,00;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-10-geracao-64gb-10-9-ipados-12-mp?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad 10ª Geração 256GB 10,9"" iPadOS";R$ 4.606,55;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-10-geracao-256gb-10-9-ipados-12-mp?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad 10ª Geração 64GB 10,9"" iPadOS 5G";R$ 4.599,00;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-10-geracao-a2757-64gb-5g-10-9-ipados?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad Air 5ª Geração 5 M1 256GB 4G 10,9""";R$ 8.099,81;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-air-5-geracao-5-m1-256gb-4g-10-9?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad Pro 5ª Geração 512GB 12,9"" iPadOS 12.0 + 10.0 MP";R$ 12.999,00;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-pro-5-geracao-512gb-12-9-ipados-12-0-10-0-mp?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad Pro 5ª Geração 2.048GB 4G 5G 12,9""";R$ 29.999,00;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-pro-5-geracao-2-048gb-4g-12-9-ipados?_lc=88&searchterm=ipad%209
2025-04-27;iPad 9;"Tablet Apple iPad Pro 5ª Geração 128GB 4G 12,9"" iPadOS";R$ 16.799,00;https://www.buscape.com.br/tablet-ipad/tablet-apple-ipad-pro-5-geracao-128gb-4g-12-9-ipados?_lc=88&searchterm=ipad%209
